round_number,round_start_time,p_id,seat_id,p_decided_at,p_action,p_payoff,p_reaction_time,n1_action,n2_action,n3_action,n4_action,n1_payoff,n2_payoff,n3_payoff,n4_payoff,max_payoff_is_coop,positive_payoff,num_of_coop_neighbor,assortment,set_id,bc_ratio,session_phase,orderd_session_name,reorderd_session_name
1,1732249572.5377817,rt712233,0087,1732249577.270747,0,8,4.7329652309417725,1,1,0,0,0,0,8,4,0,true,2,-0.5,1234,4,behavior_only,1_behavior_only,1_behavior_only
1,1732249572.5377817,rt849173,0280,1732249578.2344024,0,8,5.69662070274353,1,0,0,1,0,8,4,-4,0,true,2,-0.5,1234,4,behavior_only,1_behavior_only,1_behavior_only
1,1732249572.5377817,rt917261,1034,1732249578.2404325,0,4,5.702650785446167,0,0,1,0,8,8,-4,4,0,true,1,-0.25,1234,4,behavior_only,1_behavior_only,1_behavior_only
1,1732249572.5377817,rt337344,2031,1732249575.9840431,1,-4,3.446261405944824,0,0,0,0,8,4,4,4,0,false,0,0.0,1234,4,behavior_only,1_behavior_only,1_behavior_only
1,1732249572.5377817,rt865762,2853,1732249582.280516,0,4,9.74273419380188,0,1,0,0,4,-4,4,0,0,true,1,-0.25,1234,4,behavior_only,1_behavior_only,1_behavior_only
1,1732249572.5377817,rt153831,3460,1732249576.4269388,0,4,3.8891570568084717,1,0,0,0,-4,4,0,4,0,true,1,-0.25,1234,4,behavior_only,1_behavior_only,1_behavior_only
1,1732249572.5377817,rt739245,4145,1732249588.4693253,0,0,15.931543588638306,0,0,0,0,4,4,4,4,0,false,0,-0.0,1234,4,behavior_only,1_behavior_only,1_behavior_only
1,1732249572.5377817,rt876556,5278,1732249584.220309,0,4,11.682527303695679,0,0,0,1,4,0,4,0,0,true,1,-0.25,1234,4,behavior_only,1_behavior_only,1_behavior_only
1,1732249572.5377817,rt525137,6055,1732249577.8162193,0,4,5.278437614440918,0,0,1,0,0,4,0,12,0,true,1,-0.25,1234,4,behavior_only,1_behavior_only,1_behavior_only
1,1732249572.5377817,rt919080,6464,1732249576.5460262,1,0,4.008244514465332,0,0,0,1,4,4,12,4,0,false,1,0.25,1234,4,behavior_only,1_behavior_only,1_behavior_only
1,1732249572.5377817,rt310524,6982,1732249576.3920662,0,12,3.8542845249176025,0,1,1,1,4,0,4,0,0,true,3,-0.75,1234,4,behavior_only,1_behavior_only,1_behavior_only
1,1732249572.5377817,rt845286,7116,1732249581.673292,1,4,9.135510206222534,1,0,1,0,0,12,0,12,0,true,2,0.5,1234,4,behavior_only,1_behavior_only,1_behavior_only
1,1732249572.5377817,rt592001,7523,1732249579.8881817,1,0,7.350399971008301,0,1,0,0,12,4,12,12,0,false,1,0.25,1234,4,behavior_only,1_behavior_only,1_behavior_only
1,1732249572.5377817,rt435675,8516,1732249576.9878638,0,12,4.450082063674927,1,1,0,1,4,0,12,0,0,true,3,-0.75,1234,4,behavior_only,1_behavior_only,1_behavior_only
1,1732249572.5377817,rt671551,8927,1732249577.1263285,0,12,4.5885467529296875,1,0,1,1,0,12,0,0,0,true,3,-0.75,1234,4,behavior_only,1_behavior_only,1_behavior_only
1,1732249572.5377817,rt217519,9098,1732249581.5336115,1,0,8.995829820632935,0,0,1,0,12,12,0,8,0,false,1,0.25,1234,4,behavior_only,1_behavior_only,1_behavior_only
1,1732249572.5377817,rt819651,9280,1732249580.6070108,1,0,8.069229125976562,0,1,0,0,12,0,8,8,0,false,1,0.25,1234,4,behavior_only,1_behavior_only,1_behavior_only
2,1732249599.7004662,rt712233,0087,1732249602.7586768,0,8,3.058210611343384,1,1,0,0,0,0,4,0,0,true,2,-0.5,1234,4,behavior_only,1_behavior_only,1_behavior_only
2,1732249599.7004662,rt849173,0280,1732249602.7644527,0,4,3.0639865398406982,1,0,0,0,0,8,0,4,0,true,1,-0.25,1234,4,behavior_only,1_behavior_only,1_behavior_only
2,1732249599.7004662,rt917261,1034,1732249608.3058448,0,0,8.6053786277771,0,0,0,0,8,4,4,4,0,false,0,-0.0,1234,4,behavior_only,1_behavior_only,1_behavior_only
2,1732249599.7004662,rt337344,2031,1732249605.1013772,0,4,5.400911092758179,0,0,0,1,4,0,4,-4,0,true,1,-0.25,1234,4,behavior_only,1_behavior_only,1_behavior_only
2,1732249599.7004662,rt865762,2853,1732249604.6265748,0,4,4.9261085987091064,0,0,1,0,0,4,-4,4,0,true,1,-0.25,1234,4,behavior_only,1_behavior_only,1_behavior_only
2,1732249599.7004662,rt153831,3460,1732249603.344269,1,-4,3.6438028812408447,0,0,0,0,4,4,4,4,0,false,0,0.0,1234,4,behavior_only,1_behavior_only,1_behavior_only
2,1732249599.7004662,rt739245,4145,1732249610.4174764,0,4,10.717010259628296,0,1,0,0,4,-4,4,0,0,true,1,-0.25,1234,4,behavior_only,1_behavior_only,1_behavior_only
2,1732249599.7004662,rt876556,5278,1732249603.5032213,0,4,3.802755117416382,1,0,0,0,-4,4,0,4,0,true,1,-0.25,1234,4,behavior_only,1_behavior_only,1_behavior_only
2,1732249599.7004662,rt525137,6055,1732249601.9873805,0,0,2.286914348602295,0,0,0,0,4,4,4,8,0,false,0,-0.0,1234,4,behavior_only,1_behavior_only,1_behavior_only
2,1732249599.7004662,rt919080,6464,1732249601.830664,0,4,2.130197763442993,0,0,0,1,4,0,8,0,0,true,1,-0.25,1234,4,behavior_only,1_behavior_only,1_behavior_only
2,1732249599.7004662,rt310524,6982,1732249605.4333143,0,8,5.732848167419434,0,0,1,1,0,4,0,0,0,true,2,-0.5,1234,4,behavior_only,1_behavior_only,1_behavior_only
2,1732249599.7004662,rt845286,7116,1732249581.673292,1,0,-18.02717423439026,0,0,1,0,4,8,0,12,0,false,1,0.25,1234,4,behavior_only,1_behavior_only,1_behavior_only
2,1732249599.7004662,rt592001,7523,1732249605.633082,1,0,5.932615756988525,0,1,0,0,8,0,12,12,0,false,1,0.25,1234,4,behavior_only,1_behavior_only,1_behavior_only
2,1732249599.7004662,rt435675,8516,1732249603.8154323,0,12,4.114966154098511,1,1,0,1,0,0,12,0,0,true,3,-0.75,1234,4,behavior_only,1_behavior_only,1_behavior_only
2,1732249599.7004662,rt671551,8927,1732249602.375383,0,12,2.6749167442321777,1,0,1,1,0,12,0,0,0,true,3,-0.75,1234,4,behavior_only,1_behavior_only,1_behavior_only
2,1732249599.7004662,rt217519,9098,1732249603.2392461,1,0,3.5387799739837646,0,0,1,0,12,12,0,8,0,false,1,0.25,1234,4,behavior_only,1_behavior_only,1_behavior_only
2,1732249599.7004662,rt819651,9280,1732249608.1420183,1,0,8.44155216217041,0,1,0,0,12,0,8,4,0,false,1,0.25,1234,4,behavior_only,1_behavior_only,1_behavior_only
3,1732249619.336394,rt712233,0087,1732249621.5422297,0,8,2.2058355808258057,0,1,0,1,4,-4,8,-4,0,true,2,-0.5,1234,4,behavior_only,1_behavior_only,1_behavior_only
3,1732249619.336394,rt849173,0280,1732249621.578094,0,8,2.2416999340057373,1,0,1,0,-4,8,-4,8,0,true,2,-0.5,1234,4,behavior_only,1_behavior_only,1_behavior_only
3,1732249619.336394,rt917261,1034,1732249627.9014966,1,-4,8.565102577209473,0,0,0,0,8,8,8,8,0,false,0,0.0,1234,4,behavior_only,1_behavior_only,1_behavior_only
3,1732249619.336394,rt337344,2031,1732249624.1956174,0,8,4.859223365783691,0,1,0,1,8,-4,8,-4,0,true,2,-0.5,1234,4,behavior_only,1_behavior_only,1_behavior_only
3,1732249619.336394,rt865762,2853,1732249628.4970176,0,8,9.160623550415039,1,0,1,0,-4,8,-4,4,0,true,2,-0.5,1234,4,behavior_only,1_behavior_only,1_behavior_only
3,1732249619.336394,rt153831,3460,1732249621.2136557,1,-4,1.8772616386413574,0,0,0,0,8,8,4,4,0,false,0,0.0,1234,4,behavior_only,1_behavior_only,1_behavior_only
3,1732249619.336394,rt739245,4145,1732249623.6848485,0,4,4.348454475402832,0,1,0,0,8,-4,4,0,0,true,1,-0.25,1234,4,behavior_only,1_behavior_only,1_behavior_only
3,1732249619.336394,rt876556,5278,1732249623.4387507,0,4,4.102356672286987,1,0,0,0,-4,4,0,4,0,true,1,-0.25,1234,4,behavior_only,1_behavior_only,1_behavior_only
