set_id,bc_ratio,information_condition,round_number,population_size,participant_id,seat_id,action,payoff
1026,6,full_information,1,6,rt112325,5,defect,12
1026,6,full_information,1,6,rt468265,2062,defect,12
1026,6,full_information,1,6,rt856582,2240,cooperate,-4
1026,6,full_information,1,6,rt917459,5062,defect,12
1026,6,full_information,1,6,rt188425,5655,defect,12
1026,6,full_information,1,6,rt817311,6195,cooperate,-4
1026,6,full_information,2,6,rt112325,5,defect,6
1026,6,full_information,2,6,rt468265,2062,defect,0
1026,6,full_information,2,6,rt856582,2240,defect,6
1026,6,full_information,2,6,rt917459,5062,defect,6
1026,6,full_information,2,6,rt188425,5655,cooperate,-4
1026,6,full_information,2,6,rt817311,6195,defect,6
1026,6,full_information,3,6,rt112325,5,defect,6
1026,6,full_information,3,6,rt468265,2062,defect,0
1026,6,full_information,3,6,rt856582,2240,defect,6
1026,6,full_information,3,6,rt917459,5062,defect,6
1026,6,full_information,3,6,rt188425,5655,cooperate,-4
1026,6,full_information,3,6,rt817311,6195,defect,6
1026,6,full_information,4,6,rt112325,5,defect,12
1026,6,full_information,4,6,rt468265,2062,cooperate,2
1026,6,full_information,4,6,rt856582,2240,cooperate,2
1026,6,full_information,4,6,rt917459,5062,defect,12
1026,6,full_information,4,6,rt188425,5655,defect,6
1026,6,full_information,4,6,rt817311,6195,defect,6
1026,6,full_information,5,6,rt112325,5,defect,0
1026,6,full_information,5,6,rt468265,2062,defect,0
1026,6,full_information,5,6,rt856582,2240,defect,0
1026,6,full_information,5,6,rt917459,5062,defect,0
1026,6,full_information,5,6,rt188425,5655,defect,0
1026,6,full_information,5,6,rt817311,6195,defect,0
1026,6,full_information,6,6,rt112325,5,defect,6
1026,6,full_information,6,6,rt468265,2062,defect,6
1026,6,full_information,6,6,rt856582,2240,defect,0
1026,6,full_information,6,6,rt917459,5062,defect,6
1026,6,full_information,6,6,rt188425,5655,defect,6
1026,6,full_information,6,6,rt817311,6195,cooperate,-4
1026,6,full_information,7,6,rt112325,5,defect,12
1026,6,full_information,7,6,rt468265,2062,defect,6
1026,6,full_information,7,6,rt856582,2240,cooperate,2
1026,6,full_information,7,6,rt917459,5062,defect,12
1026,6,full_information,7,6,rt188425,5655,cooperate,2
1026,6,full_information,7,6,rt817311,6195,defect,6
1026,6,full_information,8,6,rt112325,5,defect,6
1026,6,full_information,8,6,rt468265,2062,defect,6
1026,6,full_information,8,6,rt856582,2240,cooperate,-4
1026,6,full_information,8,6,rt917459,5062,defect,6
1026,6,full_information,8,6,rt188425,5655,defect,6
1026,6,full_information,8,6,rt817311,6195,defect,0
1026,6,full_information,9,6,rt112325,5,defect,6
1026,6,full_information,9,6,rt468265,2062,defect,6
1026,6,full_information,9,6,rt856582,2240,cooperate,-4
1026,6,full_information,9,6,rt917459,5062,defect,6
1026,6,full_information,9,6,rt188425,5655,defect,6
1026,6,full_information,9,6,rt817311,6195,defect,0
1026,6,full_information,10,6,rt112325,5,defect,6
1026,6,full_information,10,6,rt468265,2062,defect,6
1026,6,full_information,10,6,rt856582,2240,defect,0
1026,6,full_information,10,6,rt917459,5062,defect,6
1026,6,full_information,10,6,rt188425,5655,defect,6
1026,6,full_information,10,6,rt817311,6195,cooperate,-4
1026,6,full_information,11,6,rt112325,5,cooperate,-4
1026,6,full_information,11,6,rt468265,2062,defect,12
1026,6,full_information,11,6,rt856582,2240,defect,12
1026,6,full_information,11,6,rt917459,5062,cooperate,-4
1026,6,full_information,11,6,rt188425,5655,defect,12
1026,6,full_information,11,6,rt817311,6195,defect,12
1026,6,full_information,12,6,rt112325,5,cooperate,-4
1026,6,full_information,12,6,rt468265,2062,defect,6
1026,6,full_information,12,6,rt856582,2240,defect,6
1026,6,full_information,12,6,rt917459,5062,defect,0
1026,6,full_information,12,6,rt188425,5655,defect,6
1026,6,full_information,12,6,rt817311,6195,defect,6
1026,6,full_information,13,6,rt112325,5,defect,0
1026,6,full_information,13,6,rt468265,2062,defect,0
1026,6,full_information,13,6,rt856582,2240,defect,0
1026,6,full_information,13,6,rt917459,5062,defect,0
1026,6,full_information,13,6,rt188425,5655,defect,0
1026,6,full_information,13,6,rt817311,6195,defect,0
1026,6,full_information,14,6,rt112325,5,defect,0
1026,6,full_information,14,6,rt468265,2062,defect,0
1026,6,full_information,14,6,rt856582,2240,defect,0
1026,6,full_information,14,6,rt917459,5062,defect,0
1026,6,full_information,14,6,rt188425,5655,defect,0
1026,6,full_information,14,6,rt817311,6195,defect,0
1026,6,full_information,15,6,rt112325,5,cooperate,2
1026,6,full_information,15,6,rt468265,2062,defect,12
1026,6,full_information,15,6,rt856582,2240,defect,6
1026,6,full_information,15,6,rt917459,5062,defect,6
1026,6,full_information,15,6,rt188425,5655,defect,12
1026,6,full_information,15,6,rt817311,6195,cooperate,2
1026,6,summary_information,1,6,rt917459,2402,defect,0
1026,6,summary_information,1,6,rt188425,3011,defect,6
1026,6,summary_information,1,6,rt112325,3784,defect,6
1026,6,summary_information,1,6,rt856582,7420,cooperate,-4
1026,6,summary_information,1,6,rt817311,8563,defect,6
1026,6,summary_information,1,6,rt468265,9605,defect,6
1026,6,summary_information,2,6,rt917459,2402,defect,6
1026,6,summary_information,2,6,rt188425,3011,defect,6
1026,6,summary_information,2,6,rt112325,3784,cooperate,-4
