                     mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
mu_global           0.201  0.355  -0.585    0.764      0.009    0.006     996.0    1227.0   1.04
mu_bc[0]            0.191  0.059   0.091    0.308      0.004    0.003     129.0     242.0   1.04
mu_bc[1]            0.219  0.057   0.116    0.310      0.005    0.003      96.0     159.0   1.07
mu_set[0]           0.224  0.062   0.115    0.335      0.004    0.003     134.0     344.0   1.07
mu_set[1]           0.198  0.071   0.068    0.323      0.006    0.004      68.0     200.0   1.05
mu_set[2]           0.182  0.068   0.051    0.302      0.004    0.003     290.0     298.0   1.04
mu_set[3]           0.237  0.063   0.119    0.348      0.003    0.002     404.0     340.0   1.03
mu_set[4]           0.184  0.071   0.055    0.312      0.007    0.005      74.0     341.0   1.05
mu_set[5]           0.215  0.063   0.106    0.334      0.003    0.002     287.0     522.0   1.02
mu_set[6]           0.213  0.064   0.098    0.322      0.005    0.003     122.0     188.0   1.07
mu_set[7]           0.216  0.070   0.089    0.326      0.007    0.005      57.0      94.0   1.12
mu_set[8]           0.199  0.067   0.077    0.321      0.004    0.003     272.0     224.0   1.03
mu_set[9]           0.193  0.069   0.076    0.322      0.004    0.003     252.0     242.0   1.04
mu_information[0]   0.230  0.081   0.091    0.398      0.003    0.003     558.0     413.0   1.02
mu_information[1]   0.244  0.095   0.064    0.397      0.009    0.007      47.0      46.0   1.09
mu_information[2]   0.216  0.066   0.086    0.334      0.003    0.003     423.0     470.0   1.04
mu_information[3]   0.192  0.120   0.031    0.404      0.009    0.007     138.0     118.0   1.04
mu_information[4]   0.200  0.095  -0.051    0.321      0.024    0.018      25.0      21.0   1.17
mu_information[5]   0.202  0.098   0.019    0.370      0.005    0.003     257.0     533.0   1.03
mu_information[6]   0.181  0.089   0.015    0.348      0.004    0.003     393.0     582.0   1.02
mu_information[7]   0.179  0.097  -0.010    0.329      0.006    0.004     335.0     225.0   1.03
mu_information[8]   0.170  0.071   0.021    0.277      0.005    0.004     164.0     388.0   1.03
mu_information[9]   0.236  0.091   0.006    0.359      0.023    0.017      28.0      14.0   1.17
mu_information[10]  0.243  0.101   0.058    0.405      0.016    0.011      34.0     181.0   1.08
mu_information[11]  0.246  0.091   0.073    0.407      0.004    0.004     579.0     273.0   1.04
mu_information[12]  0.189  0.071   0.041    0.311      0.003    0.002     486.0     616.0   1.04
mu_information[13]  0.184  0.097   0.010    0.364      0.005    0.003     156.0     609.0   1.03
mu_information[14]  0.176  0.105  -0.004    0.356      0.014    0.010      42.0     144.0   1.09
mu_information[15]  0.217  0.069   0.109    0.349      0.011    0.010      39.0      49.0   1.11
mu_information[16]  0.225  0.091   0.051    0.384      0.004    0.003      82.0     535.0   1.04
mu_information[17]  0.208  0.104   0.002    0.367      0.011    0.008      76.0      81.0   1.09
mu_information[18]  0.206  0.098   0.031    0.369      0.013    0.010      51.0     201.0   1.11
mu_information[19]  0.208  0.067   0.098    0.326      0.003    0.003     180.0     262.0   1.05
mu_information[20]  0.215  0.100   0.056    0.382      0.006    0.005     177.0     275.0   1.06
mu_information[21]  0.215  0.117   0.001    0.373      0.013    0.009      48.0      74.0   1.11
mu_information[22]  0.205  0.110  -0.041    0.367      0.019    0.014      37.0      36.0   1.15
mu_information[23]  0.208  0.075   0.042    0.325      0.010    0.007      51.0      25.0   1.15
mu_information[24]  0.210  0.094   0.034    0.368      0.010    0.009      50.0     549.0   1.06
mu_information[25]  0.206  0.109   0.029    0.387      0.011    0.008      86.0     223.0   1.05
mu_information[26]  0.209  0.068   0.083    0.332      0.003    0.002     416.0     377.0   1.03
mu_information[27]  0.201  0.071   0.076    0.316      0.004    0.003     208.0     377.0   1.07
mu_information[28]  0.179  0.103  -0.051    0.340      0.017    0.012      36.0      55.0   1.11
mu_information[29]  0.193  0.092   0.008    0.366      0.005    0.003     386.0     203.0   1.05
mu_round[0]         0.195  0.157  -0.203    0.435      0.037    0.027      25.0      14.0   1.24
mu_round[1]         0.205  0.136  -0.110    0.421      0.029    0.021      30.0      17.0   1.19
mu_round[2]         0.247  0.130   0.032    0.507      0.026    0.022      31.0      36.0   1.14
mu_round[3]         0.257  0.137   0.043    0.553      0.033    0.029      25.0      20.0   1.16
mu_round[4]         0.223  0.127  -0.043    0.429      0.017    0.012      42.0      42.0   1.11
mu_round[5]         0.248  0.139   0.016    0.572      0.033    0.027      24.0      20.0   1.17
mu_round[6]         0.235  0.115   0.049    0.467      0.011    0.010     115.0     330.0   1.06
mu_round[7]         0.239  0.114   0.032    0.447      0.006    0.008     255.0     350.0   1.05
mu_round[8]         0.241  0.113   0.046    0.448      0.006    0.007     233.0     299.0   1.03
mu_round[9]         0.229  0.112   0.035    0.443      0.004    0.004     565.0     372.0   1.05
